Entity,Code,Year,Injured
All disasters,,1900,0
All disasters,,1901,0
All disasters,,1902,60
All disasters,,1903,23
All disasters,,1904,168
All disasters,,1905,2018
All disasters,,1906,229
All disasters,,1907,0
All disasters,,1908,0
All disasters,,1909,51
All disasters,,1910,0
All disasters,,1911,221
All disasters,,1912,1775
All disasters,,1913,112
All disasters,,1914,720
All disasters,,1915,22
All disasters,,1916,20
All disasters,,1917,85
All disasters,,1918,0
All disasters,,1919,0
All disasters,,1920,167
All disasters,,1921,0
All disasters,,1922,0
All disasters,,1923,103733
All disasters,,1924,0
All disasters,,1925,0
All disasters,,1926,0
All disasters,,1927,3879
All disasters,,1928,209
All disasters,,1929,1121
All disasters,,1930,8141
All disasters,,1931,0
All disasters,,1932,904
All disasters,,1933,0
All disasters,,1934,0
All disasters,,1935,43557
All disasters,,1936,51
All disasters,,1937,200
All disasters,,1938,800
All disasters,,1939,58750
All disasters,,1940,3975
All disasters,,1941,333
All disasters,,1942,135
All disasters,,1943,7131
All disasters,,1944,37135
All disasters,,1945,926
All disasters,,1946,384
All disasters,,1947,20
All disasters,,1948,18545
All disasters,,1949,545
All disasters,,1950,250
All disasters,,1951,1186
All disasters,,1952,1919
All disasters,,1953,2587
All disasters,,1954,5301
All disasters,,1955,2296
All disasters,,1956,2589
All disasters,,1957,5330
All disasters,,1958,2921
All disasters,,1959,263
All disasters,,1960,28577
All disasters,,1961,0
All disasters,,1962,3454
All disasters,,1963,3903
All disasters,,1964,5185
All disasters,,1965,620282
All disasters,,1966,10435
All disasters,,1967,7908
All disasters,,1968,107413
All disasters,,1969,22365
All disasters,,1970,153620
All disasters,,1971,6104
All disasters,,1972,23062
All disasters,,1973,16161
All disasters,,1974,19394
All disasters,,1975,4320
All disasters,,1976,270780
All disasters,,1977,31771
All disasters,,1978,10139
All disasters,,1979,16578
All disasters,,1980,51336
All disasters,,1981,53986
All disasters,,1982,31665
All disasters,,1983,11849
All disasters,,1984,5643
All disasters,,1985,44948
All disasters,,1986,32135
All disasters,,1987,9581
All disasters,,1988,36472
All disasters,,1989,35238
All disasters,,1990,123831
All disasters,,1991,190192
All disasters,,1992,291056
All disasters,,1993,45709
All disasters,,1994,47339
All disasters,,1995,118235
All disasters,,1996,314925
All disasters,,1997,57234
All disasters,,1998,166164
All disasters,,1999,114098
All disasters,,2000,14744
All disasters,,2001,278897
All disasters,,2002,52633
All disasters,,2003,207312
All disasters,,2004,1884112
All disasters,,2005,168693
All disasters,,2006,157512
All disasters,,2007,73151
All disasters,,2008,396370
All disasters,,2009,46502
All disasters,,2010,339366
All disasters,,2011,50394
All disasters,,2012,64212
All disasters,,2013,120349
All disasters,,2014,38096
All disasters,,2015,128574
All disasters,,2016,26134
All disasters,,2017,25430
All disasters,,2018,74126
All disasters,,2019,51822
All disasters,,2020,7844
All disasters,,2021,22764
All disasters,,2022,53898
All disasters,,2023,129329
Drought,,1900,0
Drought,,1903,0
Drought,,1906,0
Drought,,1910,0
Drought,,1919,0
Drought,,1920,0
Drought,,1921,0
Drought,,1928,0
Drought,,1931,0
Drought,,1933,0
Drought,,1940,0
Drought,,1942,0
Drought,,1943,0
Drought,,1946,0
Drought,,1947,0
Drought,,1960,0
Drought,,1961,0
Drought,,1963,0
Drought,,1964,0
Drought,,1965,0
Drought,,1966,0
Drought,,1967,0
Drought,,1968,0
Drought,,1969,0
Drought,,1970,0
Drought,,1971,0
Drought,,1972,0
Drought,,1973,0
Drought,,1974,0
Drought,,1976,0
Drought,,1977,0
Drought,,1978,0
Drought,,1979,0
Drought,,1980,0
Drought,,1981,0
Drought,,1982,0
